FID,Shape,author,year,family,genus,species,bodymass_g_pantheria,Dmin,D,Log10 D,Dmax,SE,Coeficient of variation,dispersion,detection_method,new_detection_method,analitical_method,new_analitical_method,method,place,environment,new_environment,Lat,Long,sampling_effort,effort_unit,season,link,doi,country,state_province,annual_precipitation,Altitude
128,Point,Endo et al.,2010,Tayassuidae,Dicotyles,tajacu,21133.69,5.2998,8.03,0.904715545,10.7602,2.7302,0.34,CV,sighting,sighting,Distance,Distance,sighting_Distance,Manu National Park,Tropical rainforest,Dense Forest,-11.883254,-71,218,km,summer_autumn_winter,NA,10.1111/j.1744-7429.2009.00546.x,Peru,Madre de Dios,2551,400
129,Point,Endo et al.,2010,Tayassuidae,Tayassu,pecari,31798.71,10.32,15,1.176091259,19.68,4.68,0.312,CV,sighting,sighting,Distance,Distance,sighting_Distance,Manu National Park,Tropical rainforest,Dense Forest,-11.883254,-71,218,km,summer_autumn_winter,NA,10.1111/j.1744-7429.2009.00546.x,Peru,Madre de Dios,2551,400
130,Point,Oliveira et al,2022,Cervidae,Subulo,gouazoubira,16633.17,NA,3.63246,0.560200841,NA,NA,NA,NA,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Parque Nacional Chapada Diamantina,Atlantic forest,Dense Forest,-12.691713,-41,1521,m,summer,personal data,NA,Brazil,Bahia,1074,456
131,Point,Santos Jr.,2013,Cervidae,Mazama,americana,20546.86,NA,0.01,-2,NA,NA,NA,NA,sighting,sighting,census,Census,sighting_Census,APM-Manso Mato Grosso,cerrado,Savana,-14.84,-56,480,km,NA,NA,NA,Brazil,Mato Grosso,1462,291
132,Point,Santos Jr.,2013,Cervidae,Subulo,gouazoubira,16633.17,NA,0.345,-0.462180905,NA,NA,NA,NA,sighting,sighting,census,Census,sighting_Census,APM-Manso Mato Grosso,cerrado,Savana,-14.84,-56,480,km,NA,NA,NA,Brazil,Mato Grosso,1462,291
133,Point,Oliveira et al,2022,Cervidae,Passalites,nemorivaga,14700,NA,3.382653,0.529257449,NA,NA,NA,NA,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Reserva Biológica de Una,Atlantic forest,Dense Forest,-15.184072,-39,2638,m,spring,personal data,NA,Brazil,Bahia,1791,21
134,Point,Leeuwenberg e Resende,1994,Cervidae,Subulo,gouazoubira,16633.17,NA,0.67,-0.173925197,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distrito Federal - Brasil,Cerrado,Savana,-15.95,-48,NA,NA,NA,NA,NA,Brazil,Distrito Federal,1519,1104
135,Point,Leeuwenberg e Resende,1994,Cervidae,Subulo,gouazoubira,16633.17,NA,0.81,-0.091514981,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distrito Federal - Brasil,Cerrado,Savana,-15.95,-48,NA,NA,NA,NA,NA,Brazil,Distrito Federal,1519,1104
136,Point,Davies,2003,Camelidae,Lama,vicugna,47499.61,NA,3.7,0.568201724,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Salinas y Aguada Blanca National Reserve in Arequipa,Andes,Field/Desert,-16,-71,38,km2,summer,48032053.pdf (core.ac.uk),NA,Peru,Arequipa,531,4571
137,Point,Sahley et al,2007,Camelidae,Lama,vicugna,47499.61,2.2,2.8,0.447158031,3.4,0.6,0.214285714,SE,capture,capture,CMR,CMR,capture_CMR,Salinas y Aguada Blanca National Reserve in Arequipa,Andes,Field/Desert,-16.160485,-71,86,km2,year_long,NA,https://doi.org/10.1111/j.1523-1739.2006.00558.x,Peru,Arequipa,339,3966
138,Point,Sahley et al,2007,Camelidae,Lama,vicugna,47499.61,1.03,1.27,0.103803721,1.51,0.24,0.188976378,SE,capture,capture,CMR,CMR,capture_CMR,Salinas y Aguada Blanca National Reserve in Arequipa,Andes,Field/Desert,-16.160485,-71,86,km2,year_long,NA,https://doi.org/10.1111/j.1523-1739.2006.00558.x,Peru,Arequipa,339,3966
139,Point,Sahley et al,2007,Camelidae,Lama,vicugna,47499.61,2.47,2.8,0.447158031,3.13,0.33,0.117857143,SE,capture,capture,CMR,CMR,capture_CMR,Salinas y Aguada Blanca National Reserve in Arequipa,Andes,Field/Desert,-16.160485,-71,86,km2,year_long,NA,https://doi.org/10.1111/j.1523-1739.2006.00558.x,Peru,Arequipa,339,3966
140,Point,Sahley et al,2007,Camelidae,Lama,vicugna,47499.61,1.8,2,0.301029996,2.2,0.2,0.1,SE,capture,capture,CMR,CMR,capture_CMR,Salinas y Aguada Blanca National Reserve in Arequipa,Andes,Field/Desert,-16.160485,-71,86,km2,year_long,NA,https://doi.org/10.1111/j.1523-1739.2006.00558.x,Peru,Arequipa,339,3966
141,Point,Sahley et al,2007,Camelidae,Lama,vicugna,47499.61,4.4,4.8,0.681241237,5.2,0.4,0.083333333,SE,capture,capture,CMR,CMR,capture_CMR,Salinas y Aguada Blanca National Reserve in Arequipa,Andes,Field/Desert,-16.160485,-71,86,km2,year_long,NA,https://doi.org/10.1111/j.1523-1739.2006.00558.x,Peru,Arequipa,339,3966
142,Point,Sahley et al,2007,Camelidae,Lama,vicugna,47499.61,3.27,3.7,0.568201724,4.13,0.43,0.116216216,SE,capture,capture,CMR,CMR,capture_CMR,Salinas y Aguada Blanca National Reserve in Arequipa,Andes,Field/Desert,-16.160485,-71,86,km2,year_long,NA,https://doi.org/10.1111/j.1523-1739.2006.00558.x,Peru,Arequipa,339,3966
143,Point,Cordeiro,2004,Tapiridae,Tapirus,terrestris,169496.6,NA,0.71,-0.148741651,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Reserva Particular do Patrimônio Natural SESC Pantanal - Estrato Florestal,cerrado,Savana,-16.256336,-56,1076,km2,summer_winter,http://hdl.handle.net/10183/5154, ,Brazil,Mato Grosso,1375,117
144,Point,Cordeiro,2004,Tapiridae,Tapirus,terrestris,169496.6,NA,0.37,-0.431798276,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Reserva Particular do Patrimônio Natural SESC Pantanal - Estrato Campestre,cerrado,Savana,-16.256336,-56,1076,km2,summer_winter,http://hdl.handle.net/10183/5155, ,Brazil,Mato Grosso,1375,117
145,Point,Cordeiro,2004,Tapiridae,Tapirus,terrestris,169496.6,NA,0.55,-0.259637311,NA,NA,NA,NA,sighting,sighting,Distance,Distance,sighting_Distance,Reserva Particular do Patrimônio Natural SESC Pantanal - Estrato Global,cerrado,Savana,-16.256336,-56,1076,km2,summer_winter,http://hdl.handle.net/10183/5156, ,Brazil,Mato Grosso,1375,117
146,Point,Manço,2004,Cervidae,Ozotocerus,bezoarticus,34620.4,0.5,0.87,-0.060480747,1.52,0.65,0.747126437,CI,sighting,sighting,distance,Distance,sighting_Distance,Reserva Particular do Patrimonio Natural (RPPN) SESC Pantanal,cerrado,Savana,-16.256336,-56,35,km2,summer,"Pantheon: Veados-campeiros (Ozotoceros bezoarticus (Linnaeus, 1758)) (Mammalia : Cervidae) no nordeste do Pantanal do Mato Grosso (RPPN SESC Pantanal), Barão de Melgaço, MT : densidade, tamanho populacional e uso dos hábitats (ufrj.br)",NA,Brazil,Mato Grosso,1375,117
147,Point,Manço,2004,Cervidae,Ozotocerus,bezoarticus,34620.4,0.18,1.03,0.012837225,2.25,1.22,1.184466019,CI,sighting,sighting,Hayne’s estimator,Distance,sighting_Distance,Reserva Particular do Patrimonio Natural (RPPN) SESC Pantanal,cerrado,Savana,-16.256336,-56,35,km2,summer,"Pantheon: Veados-campeiros (Ozotoceros bezoarticus (Linnaeus, 1758)) (Mammalia : Cervidae) no nordeste do Pantanal do Mato Grosso (RPPN SESC Pantanal), Barão de Melgaço, MT : densidade, tamanho populacional e uso dos hábitats (ufrj.br)",NA,Brazil,Mato Grosso,1375,117
148,Point,Manço,2004,Cervidae,Ozotocerus,bezoarticus,34620.4,0.16,0.28,-0.552841969,0.48,0.2,0.714285714,CI,sighting,sighting,distance,Distance,sighting_Distance,Reserva Particular do Patrimonio Natural (RPPN) SESC Pantanal,cerrado,Savana,-16.256336,-56,98.5,km2,winter,"Pantheon: Veados-campeiros (Ozotoceros bezoarticus (Linnaeus, 1758)) (Mammalia : Cervidae) no nordeste do Pantanal do Mato Grosso (RPPN SESC Pantanal), Barão de Melgaço, MT : densidade, tamanho populacional e uso dos hábitats (ufrj.br)",NA,Brazil,Mato Grosso,1375,117
149,Point,Manço,2004,Cervidae,Ozotocerus,bezoarticus,34620.4,0.12,0.28,-0.552841969,0.44,0.16,0.571428571,CI,sighting,sighting,Hayne’s estimator,Distance,sighting_Distance,Reserva Particular do Patrimonio Natural (RPPN) SESC Pantanal,cerrado,Savana,-16.256336,-56,98.5,km2,winter,"Pantheon: Veados-campeiros (Ozotoceros bezoarticus (Linnaeus, 1758)) (Mammalia : Cervidae) no nordeste do Pantanal do Mato Grosso (RPPN SESC Pantanal), Barão de Melgaço, MT : densidade, tamanho populacional e uso dos hábitats (ufrj.br)",NA,Brazil,Mato Grosso,1375,117
150,Point,Oliveira et al,2022,Cervidae,Subulo,gouazoubira,16633.17,NA,2.03805,0.309214835,NA,NA,NA,NA,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Reserva Biológica da Mata Escura,Atlantic forest,Dense Forest,-16.353095,-41,2552,m,spring,personal data,NA,Brazil,Minas Gerais,849,314
151,Point,Rechberger et al,2014,Cervidae,Hippocamelus,artisensis,68599.35,NA,1.7,0.230448921,NA,NA,NA,NA,sighting_faeces_footprints,Indirect method,Census,Census,Indirect method_Census,Mecapaca - Llacasa,Andes,Field/Desert,-16.656794,-68,405,km2,year_long,NA,10.1017/S0030605312001561,Bolivia,Mecapaca,529,3055
152,Point,Rechberger et al,2014,Cervidae,Hippocamelus,artisensis,68599.35,NA,0.68,-0.167491087,NA,NA,NA,NA,sighting_faeces_footprints,Indirect method,Census,Census,Indirect method_Census,Mecapaca - Chanka,Andes,Field/Desert,-16.656794,-68,405,km2,year_long,NA,10.1017/S0030605312001561,Bolivia,Mecapaca,529,3055
153,Point,Rechberger et al,2014,Cervidae,Hippocamelus,artisensis,68599.35,NA,0.89,-0.050609993,NA,NA,NA,NA,sighting_faeces_footprints,Indirect method,Census,Census,Indirect method_Census,Mecapaca - Milocato-Tahuapalca,Andes,Field/Desert,-16.656794,-68,405,km2,year_long,NA,10.1017/S0030605312001561,Bolivia,Mecapaca,529,3055
154,Point,Rechberger et al,2014,Cervidae,Hippocamelus,artisensis,68599.35,NA,0.22,-0.657577319,NA,NA,NA,NA,sighting_faeces_footprints,Indirect method,Census,Census,Indirect method_Census,Mecapaca - Collana,Andes,Field/Desert,-16.656794,-68,405,km2,year_long,NA,10.1017/S0030605312001561,Bolivia,Mecapaca,529,3055
155,Point,Rechberger et al,2014,Cervidae,Hippocamelus,artisensis,68599.35,NA,1.12,0.049218023,NA,NA,NA,NA,sighting_faeces_footprints,Indirect method,Census,Census,Indirect method_Census,Mecapaca - Ñuñumañani,Andes,Field/Desert,-16.656794,-68,405,km2,year_long,NA,10.1017/S0030605312001561,Bolivia,Mecapaca,529,3055
156,Point,Trolle et al,2008,Tapiridae,Tapirus,terrestris,169496.6,0.47,0.58,-0.236572006,0.69,0.11,0.189655172,SE,camera_trap,camera_trap,CMR,CMR,camera_trap_CMR,Estância Ecologica SESC Pantanal,Pantanal,Dense Forest,-16.668687,-56,504,camera trap nights,spring_summer,NA,10.1111/j.1744-7429.2007.00350.x,Brazil,Mato Grosso,1352,172
157,Point,Trolle et al,2008,Tapiridae,Tapirus,terrestris,169496.6,0.3,0.55,-0.259637311,1.01,0.46,0.836363636,CI,sighting,sighting,Census,Census,sighting_Census,Estância Ecologica SESC Pantanal,Pantanal,Dense Forest,-16.668687,-56,1063,km2,spring_summer,NA,10.1111/j.1744-7429.2007.00350.x,Brazil,Mato Grosso,1352,172
158,Point,Barrio,2007,Cervidae,Hippocamelus,artisensis,68599.35,NA,1.76,0.245512668,NA,NA,NA,SD,sighting,sighting,Census,Census,sighting_Census,Aymara - Lupaca Reserved Zone (ALRZ),Andes,Field/Desert,-17,-69,3230.27,km2,winter,https://www.redalyc.org/pdf/1950/195018549004.pdf,NA,Peru,Humacata,493,4277
159,Point,Noss et al,2003,Tapiridae,Tapirus,terrestris,169496.6,0.71,0.8,-0.096910013,0.89,0.09,0.1125,SE,camera_trap,camera_trap,CMR,CMR,camera_trap_CMR,San miguelito,Chaco alluvial plain forest,Open Forest,-17.091944,-62,1695,camera trap days,spring,https://www.researchgate.net/publication/228541823_A_Camera_trapping_and_radio_telemetry_study_of_lowland_tapir_Tapirus_terrestris_in_Bolivian_dry_forests,NA,Bolivia,Santa Cruz,995,251
160,Point,Rivero et al.,2004,Cervidae,Mazama,americana,20546.86,-0.02,0.01,-2,0.04,0.03,3,SD,sighting,sighting,distance,Distance,sighting_Distance,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,180,km,summer,NA,NA,Bolivia,Santa Cruz,995,251
161,Point,Rivero et al.,2004,Cervidae,Mazama,americana,20546.86,0.04,0.57,-0.244125144,1.1,0.53,0.929824561,SD,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,50,km,summer,NA,NA,Bolivia,Santa Cruz,995,251
162,Point,Rivero et al.,2004,Cervidae,Subulo,gouazoubira,16633.17,-0.93,1.27,0.103803721,3.47,2.2,1.732283465,SD,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,30,km,summer,NA,NA,Bolivia,Santa Cruz,995,251
163,Point,Rivero et al.,2004,Cervidae,Mazama,americana,20546.86,-0.93,1.27,0.103803721,3.47,2.2,1.732283465,SD,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,30,km,summer,NA,NA,Bolivia,Santa Cruz,995,251
164,Point,Rivero et al.,2004,Cervidae,Mazama,americana,20546.86,-0.87,1.83,0.26245109,4.53,2.7,1.475409836,SD,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,60,km,summer,NA,NA,Bolivia,Santa Cruz,995,251
165,Point,Rivero et al.,2004,Cervidae,Mazama,americana,20546.86,-0.3,2.6,0.414973348,5.5,2.9,1.115384615,SD,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,20,km,winter,NA,NA,Bolivia,Santa Cruz,995,251
166,Point,Rivero et al.,2004,Cervidae,Mazama,americana,20546.86,0.75,2.75,0.439332694,4.75,2,0.727272727,SD,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,20,km,winter,NA,NA,Bolivia,Santa Cruz,995,251
167,Point,Rivero et al.,2004,Cervidae,Subulo,gouazoubira,16633.17,NA,4.4,0.643452677,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,180,km,summer,NA,NA,Bolivia,Santa Cruz,995,251
168,Point,Rivero et al.,2004,Cervidae,Mazama,americana,20546.86,0.79,4.89,0.689308859,8.99,4.1,0.838445808,SD,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,30,km,winter,NA,NA,Bolivia,Santa Cruz,995,251
169,Point,Rivero et al.,2004,Cervidae,Subulo,gouazoubira,16633.17,-2.57,6.33,0.80140371,15.23,8.9,1.40600316,SD,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,60,km,summer,NA,NA,Bolivia,Santa Cruz,995,251
170,Point,Rivero et al.,2004,Cervidae,Subulo,gouazoubira,16633.17,NA,7.7,0.886490725,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,114.8,km,winter,NA,NA,Bolivia,Santa Cruz,995,251
171,Point,Rivero et al.,2004,Cervidae,Mazama,americana,20546.86,-2.91,8.99,0.953759692,20.89,11.9,1.323692992,SD,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,40,km,summer,NA,NA,Bolivia,Santa Cruz,995,251
172,Point,Rivero et al.,2004,Cervidae,Subulo,gouazoubira,16633.17,2.65,9.55,0.980003372,16.45,6.9,0.722513089,SD,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,50,km,summer,NA,NA,Bolivia,Santa Cruz,995,251
173,Point,Rivero et al.,2004,Cervidae,Subulo,gouazoubira,16633.17,-2.37,9.93,0.996949249,22.23,12.3,1.238670695,SD,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,40,km,summer,NA,NA,Bolivia,Santa Cruz,995,251
174,Point,Rivero et al.,2004,Cervidae,Subulo,gouazoubira,16633.17,2.8,11.8,1.071882007,20.8,9,0.762711864,SD,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,30,km,winter,NA,NA,Bolivia,Santa Cruz,995,251
175,Point,Rivero et al.,2004,Cervidae,Subulo,gouazoubira,16633.17,14.26,14.44,1.159567193,14.62,0.18,0.012465374,SD,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,20,km,winter,NA,NA,Bolivia,Santa Cruz,995,251
176,Point,Rivero et al.,2004,Cervidae,Mazama,americana,20546.86,1.89,17.69,1.247727833,33.49,15.8,0.893159977,SD,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,20,km,winter,NA,NA,Bolivia,Santa Cruz,995,251
177,Point,Rivero et al.,2004,Cervidae,Subulo,gouazoubira,16633.17,26.04,33.24,1.521661015,40.44,7.2,0.216606498,SD,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,20,km,winter,NA,NA,Bolivia,Santa Cruz,995,251
178,Point,Rivero et al.,2004,Cervidae,Subulo,gouazoubira,16633.17,21.19,62.79,1.797890483,104.39,41.6,0.66252588,SD,faeces,Indirect method,FSC,Fecal pellets counts,Indirect method_Fecal pellets counts,Estancia San Miguelito,Chaco,Wetland,-17.08,-62,20,km,winter,NA,NA,Bolivia,Santa Cruz,995,251
179,Point,Schaller,1983,Tapiridae,Tapirus,terrestris,169496.6,NA,0.64,-0.193820026,NA,NA,NA,NA,faeces_footprints,Indirect method,Census,Census,Indirect method_Census,Acurizal,Rain forest,Dense Forest,-17.830459,-58,70,km2,year_long,NA,https://doi.org/10.11606/issn.2176-7793.v31i1p1-36,Brazil,Mato Grosso do Sul,1175,78
180,Point,Gallardo et al,2010,Camelidae,Lama,vicugna,47499.61,8.59,18.54,1.26810973,40.01,21.47,1.158036677,CI,sighting,sighting,Distance,Distance,sighting_Distance,Parque Nacional Sajama,Puna desértica,Field/Desert,-18.110286,-69,110,km2,summer_winter,http://www.scielo.org.bo/scielo.php?pid=S1605-25282010000100005&script=sci_arttext,NA,Bolivia,Sajama del departamento de Oruro,381,4576
181,Point,Gallardo et al,2010,Camelidae,Lama,vicugna,47499.61,6.43,13.44,1.128399269,28.12,14.68,1.092261905,CI,sighting,sighting,Distance,Distance,sighting_Distance,Parque Nacional Sajama,Puna desértica,Field/Desert,-18.110286,-69,110,km2,summer_winter,http://www.scielo.org.bo/scielo.php?pid=S1605-25282010000100005&script=sci_arttext,NA,Bolivia,Sajama del departamento de Oruro,381,4576
182,Point,Desbiez et al,2010,Tapiridae,Tapirus,terrestris,169496.6,NA,0.13,-0.886056648,NA,NA,NA,SE,sighting,sighting,Distance,Distance,sighting_Distance,managed cattle ranches in central Pantanal,cerrado,Savana,-18.168424,-57,200,km2,year_long,NA,10.1111/j.1744-7429.2009.00601.x,Brazil,Mato Grosso do Sul,1228,112
183,Point,Desbiez et al,2010,Tapiridae,Tapirus,terrestris,169496.6,NA,0.4,-0.397940009,NA,NA,NA,SE,sighting,sighting,Distance,Distance,sighting_Distance,managed cattle ranches in central Pantanal,Forest,Savana,-18.168424,-57,200,km2,year_long,NA,10.1111/j.1744-7429.2009.00601.x,Brazil,Mato Grosso do Sul,1228,112
184,Point,Noss et al,2003,Tapiridae,Tapirus,terrestris,169496.6,0.25,0.29,-0.537602002,0.33,0.04,0.137931035,SE,camera_trap,camera_trap,CMR,CMR,camera_trap_CMR,Tucavaca,dry forest,Open Forest,-18.423125,-61,4440,camera trap nights,summer_spring_winter,Noss_AJ._et_al._2003._A_Camera_trapping_and_radio_telemetry_study_of_lowland_tapri_Tapirus_terrestris_in_Bolivian_Dry_Forest.pdf (tapirs.org),NA,Bolivia,Santa Cruz,882,294
185,Point,Noss et al,2012,Tapiridae,Tapirus,terrestris,169496.6,0.077,0.11,-0.958607315,0.143,0.033,0.3,SE,camera_trap,camera_trap,CMR,CMR,camera_trap_CMR,Kaa-Iya del Gran Chaco National Park,Forest,Open Forest,-18.53506,-62,NA,NA,NA,NA,10.1111/j.1469-1795.2012.00545.x,Bolivia,Santa Cruz,721,304
186,Point,Noss et al,2012,Tapiridae,Tapirus,terrestris,169496.6,0.0475,0.117,-0.931814138,0.1865,0.0695,0.594017094,SE,camera_trap,camera_trap,CMR,CMR,camera_trap_CMR,Kaa-Iya del Gran Chaco National Park,Forest,Open Forest,-18.53506,-62,NA,NA,NA,NA,10.1111/j.1469-1795.2012.00545.x,Bolivia,Santa Cruz,721,304
187,Point,Tomaz et al,2001,Cervidae,Ozotocerus,bezoarticus,34620.4,6.01,9.81,0.991669007,13.61,3.8,0.387359837,NA,sighting,sighting,distance,Distance,sighting_Distance,the Campo Dora ranch,pantanal wetland,Field/Desert,-18.770317,-57,84,km2,spring,"A survey of a pampas deer, Ozotoceros bezoarticus leucogaster (Arctiodactyla, Cervidae), population in the Pantanal wetland, Brazil, using the distance sampling technique | Animal Biodiversity and Conservation (raco.cat)",NA,Brazil,Mato Grosso do Sul,1230,103
